label,text
Software Recommendation,What's the best Mind Mapping Software?
Software Recommendation,Software to read a QR code?
Software Recommendation,Is there software that can view .dwg files?
Software Recommendation,Can you recommend a password generator?
Software Recommendation,Is there a software utility to adjust screen gamma/brightness/contrast?
Software Recommendation,Is there a tool like wifi analyzer for ubuntu?
Software Recommendation,Is there any recovery software available for ext4?
Software Recommendation,Removing Recently used items in 12.04
Software Recommendation,Is there a lightweight tool to crop images quickly?
Software Recommendation,Is there LAN topology mapping software available in Ubuntu?
Software Recommendation,UPNP / DLNA (client) player recommendations?
Software Recommendation,What are some good ASCII art generators?
Software Recommendation,PDF to word conversion software?
Software Recommendation,What Is The Best HDR Software?
Software Recommendation,Is there an application for reading mobi files?
Software Recommendation,What are some good GUI binary viewers/editors?
Software Recommendation,Which programs can I use to edit PDF files?
Software Recommendation,What IRC clients are available?
Software Recommendation,Any command line calculator for Ubuntu?
Software Recommendation,What blog editor software are available?
Software Recommendation,What is a good MongoDB GUI client?
Software Recommendation,Is there an SSH connection manager?
Software Recommendation,Is there any program for fuzzy string matching which provides a match score?
Software Recommendation,Extracting embedded images from a PDF
Software Recommendation,What scientific plotting software is available?
Software Recommendation,Any app that tells me to take regular breaks from working?
Software Recommendation,What tools do you use to monitor a web server?
Software Recommendation,Password Management Applications?
Software Recommendation,Please recommend a hex editor for shell
Software Recommendation,What's the best Wireframing tool?
Software Recommendation,What software can I use to view epub documents?
Software Recommendation,Tool for recovering deleted data from a flash drive
Software Recommendation,Is there a Linux file manager with a proper drop-down tree view? (like finder in OS X)
Software Recommendation,Which application do you recommend for watching TV (DVB)?
Software Recommendation,A light alternative to gnome-system-monitor?
Software Recommendation,Is there a project management software for Ubuntu like Microsoft Project?
Software Recommendation,Applications to replace iTunes for iPod synchronization?
Software Recommendation,Wubi Device /dev/loop0 full. How to get more space?
Software Recommendation,On really old Ubuntu 6.06 - How to upgrade
Software Recommendation,Is it recommended to upgrade to Lubuntu 15.04?
Software Recommendation,What to use to quickly cut Audio/Video
Software Recommendation,What developer text editors are available for Ubuntu?
Software Recommendation,Is there any software that will do face recognition in photos?
Software Recommendation,"What's a simple ""colour picker"" app for GNOME?"
Software Recommendation,Are there any hardware diagnostic tools?
None,Torrent client for the command-line?
None,How do I show grub when resuming from suspend?
None,Is there a Document scanning and archiving software?
None,How can I highlight or annotate PDFs?
None,How is rm command different from the delete button?
None,How to record my screen?
Shutdown Computer,shutdown in specific way if no-one uses computer
Shutdown Computer,How can I make shutdown not require admin password?
Shutdown Computer,How do I shut down without the confirmation prompt?
Shutdown Computer,My system doesn't go shutdown
Shutdown Computer,what is the right way to shutdown ubuntu using the command line?
Shutdown Computer,Ubuntu Shut down app
Shutdown Computer,No action when shutdown pressed
Shutdown Computer,How to shutdown the computer after Xsession ends?
Shutdown Computer,What does my computer do when I click 'Shut Down'?
Shutdown Computer,Are there any Keyboard Shortcuts to Shutdown?
Shutdown Computer,How to Shut down Ubuntu by using keyboard?
Shutdown Computer,How to shutdown computer when users are logged on?
Shutdown Computer,How to troubleshoot slow shutdown?
Shutdown Computer,Shutdown problem in Ubuntu 16.04
Shutdown Computer,Hotkey to shut down from login screen?
Shutdown Computer,What graphical utility can I use for Ubuntu auto shutdown?
Shutdown Computer,How do I fix a shutdown problem?
Shutdown Computer,What is the command to open the shutdown dialog?
Shutdown Computer,How can one shutdown a PC using the keyboard?
Shutdown Computer,What is the proper terminal-way to shutdown?
Shutdown Computer,shutdown 5:30pm every day
Make Update,Upgrade from 9.10 to 11.04
Make Update,Upgrade to 12.04 64 bit
Make Update,Update 11.04 to 12.04 with LiveCD
Make Update,Do I need to backup my 12.04 system to upgrade to 12.04.1?
Make Update,Ho do I update to 13.04 from the beta?
Make Update,Force upgrade 12.10 to 13.04
Make Update,How to upgrade from 16.04 LTS to 16.04.1 LTS
Make Update,How do I upgrade to the release version of 16.04 if I am running Beta?
Make Update,Upgrading from ubuntu 12.04 to 13.10
Make Update,Is it necessary to upgrade to 15.10 from 14.04?
Make Update,Doubts regarding the 15.04 upgrade (is it inevitable and unavoidable?)
Make Update,Problems upgrading Ubuntu 12.10 to 13.04
Make Update,Upgrading 16.04 to 16.04.1
Make Update,Upgrading from 10.04 to 11.10
Make Update,How to upgrade from 12.10 to 14.04
Make Update,How to upgrade from Ubuntu 10.10 to 11.04?
Make Update,Do I need to reinstall everything to upgrade from 13.10 to 14.10?
Make Update,Upgrading From 11.04 (32bit) to 12.04 (64bit)
Make Update,Upgrade 12.04 to 12.10 using startup disk
Make Update,Upgrade from 12.04 to 12.10 without losing files?
Make Update,Upgrading from 12.04 to 13.10 ( Unanswered questions )
Make Update,Is it worth upgrading from 12.04 LTS to 13.04
Make Update,Upgrading from Ubuntu 14.04 to 15.04
Make Update,update-manager: upgrade to 15.04 rather than 16.04
Make Update,Using 12.04 can I compile packages with gcc for 10.04?
Make Update,upgrading to Ubuntu 13.10 from Ubuntu 13.04
Make Update,how to upgrade from ubuntu 15.04 to 15.10?
Make Update,How to upgrade Ubuntu 14.04.1 to 14.04.2?
Make Update,Upgrading from 11.10 to 12.04
Make Update,How to Upgrade from 11.10 to 12.04 when you've got a problem?
Make Update,How can i upgrade to Ubuntu 14.04 final from 14.04 Beta correctly?
Make Update,Ubuntu upgrade failed
Make Update,Upgrading from 10.10 to 11.04 how much space is needed?
Make Update,Cannot upgrade from 12.04LTS to 14.04
Make Update,How to partially upgrade Ubuntu 11.10 from Ubuntu 11.04?
Make Update,Why did the upgrade from 11.10 to 12.04 ruin my system?
Make Update,Problem upgrading Ubuntu 9.10
Setup Printer,How can I install a Pantum 2502W laser printer on Ubuntu
Setup Printer,How do I setup my HP C4140 printer wirelessly?
Setup Printer,Install Canon MP560 Ubuntu 15.04
Setup Printer,How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work
Setup Printer,How to install a Brother MFC-5890CN network printer?
Setup Printer,How to setup HP printer/scanner on ubuntu?
Setup Printer,Installing EPSON L355 on Ubuntu 14.04
Setup Printer,Installing Epson XP-424 wireless printer
Setup Printer,How to setup wireless printing from a printer connected via usb on Ubuntu Server 12.10?
Setup Printer,Cannot install printer driver epson l210
Setup Printer,No matter what I do Ubuntu 15.04 does not recognize HP LaserJet 1020
Setup Printer,How do I install the HP F4280 printer?
Setup Printer,How do I install Dell 2150cdn printer
Setup Printer,How Do I Install Canon MF8000C Printer in Ubuntu 15.10?
Setup Printer,Cannot setup HP All in one DJ3630
Setup Printer,Install printer Lexmark X4690 (ubuntu 12.04)
Setup Printer,How to install a Lexmark z600 series printer?
Setup Printer,How do I install drivers for a Konica Minolta 200?
